Stop Name,NexBus ID,Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Dep,5000,-,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:50 AM,12:10 PM,12:30 PM,12:50 PM,1:10 PM,1:30 PM,1:50 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM,5:50 PM,6:10 PM,6:30 PM,6:50 PM,7:10 PM,7:30 PM,7:50 PM,8:10 PM,8:30 PM,8:50 PM,9:10 PM,9:30 PM,9:50 PM
Stone Rd. W. at Gordon St. ,5001,-,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:50 AM,12:10 PM,12:30 PM,12:50 PM,1:10 PM,1:30 PM,1:50 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM,5:50 PM,6:10 PM,6:30 PM,6:50 PM,7:10 PM,7:30 PM,7:50 PM,8:10 PM,8:30 PM,8:50 PM,9:10 PM,9:30 PM,9:50 PM
Stone Rd. W. at Fire Hall,5002,-,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:50 AM,12:10 PM,12:30 PM,12:50 PM,1:10 PM,1:30 PM,1:50 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM,5:50 PM,6:10 PM,6:30 PM,6:50 PM,7:10 PM,7:30 PM,7:50 PM,8:10 PM,8:30 PM,8:50 PM,9:10 PM,9:30 PM,9:50 PM
Stone Rd. W. at Zellers,5003,-,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:50 AM,12:10 PM,12:30 PM,12:50 PM,1:10 PM,1:30 PM,1:50 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM,5:50 PM,6:10 PM,6:30 PM,6:50 PM,7:10 PM,7:30 PM,7:50 PM,8:10 PM,8:30 PM,8:50 PM,9:10 PM,9:30 PM,9:50 PM
Stone Rd. W. Edinburgh Rd. S.,5004,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:15 AM,10:35 AM,10:55 AM,11:15 AM,11:35 AM,11:55 AM,12:15 PM,12:35 PM,12:55 PM,1:15 PM,1:35 PM,1:55 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:15 PM,6:35 PM,6:55 PM,7:15 PM,7:35 PM,7:55 PM,8:15 PM,8:35 PM,8:55 PM,9:15 PM,9:35 PM,9:55 PM
Stone Rd. W. at Stone Rd Mall,5005,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:15 AM,10:35 AM,10:55 AM,11:15 AM,11:35 AM,11:55 AM,12:15 PM,12:35 PM,12:55 PM,1:15 PM,1:35 PM,1:55 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:15 PM,6:35 PM,6:55 PM,7:15 PM,7:35 PM,7:55 PM,8:15 PM,8:35 PM,8:55 PM,9:15 PM,9:35 PM,9:55 PM
Stone Rd. W. at Scottsdale Dr.,5006,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:15 AM,10:35 AM,10:55 AM,11:15 AM,11:35 AM,11:55 AM,12:15 PM,12:35 PM,12:55 PM,1:15 PM,1:35 PM,1:55 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:15 PM,6:35 PM,6:55 PM,7:15 PM,7:35 PM,7:55 PM,8:15 PM,8:35 PM,8:55 PM,9:15 PM,9:35 PM,9:55 PM
Stone Rd Mall,5007,7:58 AM,8:18 AM,8:38 AM,8:58 AM,9:18 AM,9:38 AM,9:58 AM,10:18 AM,10:38 AM,10:58 AM,11:18 AM,11:38 AM,11:58 AM,12:18 PM,12:38 PM,12:58 PM,1:18 PM,1:38 PM,1:58 PM,2:18 PM,2:38 PM,2:58 PM,3:18 PM,3:38 PM,3:58 PM,4:18 PM,4:38 PM,4:58 PM,5:18 PM,5:38 PM,5:58 PM,6:18 PM,6:38 PM,6:58 PM,7:18 PM,7:38 PM,7:58 PM,8:18 PM,8:38 PM,8:58 PM,9:18 PM,9:38 PM,9:58 PM
Scottsdale Dr. at Wilsonview Ave.,5008,7:58 AM,8:18 AM,8:38 AM,8:58 AM,9:18 AM,9:38 AM,9:58 AM,10:18 AM,10:38 AM,10:58 AM,11:18 AM,11:38 AM,11:58 AM,12:18 PM,12:38 PM,12:58 PM,1:18 PM,1:38 PM,1:58 PM,2:18 PM,2:38 PM,2:58 PM,3:18 PM,3:38 PM,3:58 PM,4:18 PM,4:38 PM,4:58 PM,5:18 PM,5:38 PM,5:58 PM,6:18 PM,6:38 PM,6:58 PM,7:18 PM,7:38 PM,7:58 PM,8:18 PM,8:38 PM,8:58 PM,9:18 PM,9:38 PM,9:58 PM
Wilsonview Ave.,5009,7:58 AM,8:18 AM,8:38 AM,8:58 AM,9:18 AM,9:38 AM,9:58 AM,10:18 AM,10:38 AM,10:58 AM,11:18 AM,11:38 AM,11:58 AM,12:18 PM,12:38 PM,12:58 PM,1:18 PM,1:38 PM,1:58 PM,2:18 PM,2:38 PM,2:58 PM,3:18 PM,3:38 PM,3:58 PM,4:18 PM,4:38 PM,4:58 PM,5:18 PM,5:38 PM,5:58 PM,6:18 PM,6:38 PM,6:58 PM,7:18 PM,7:38 PM,7:58 PM,8:18 PM,8:38 PM,8:58 PM,9:18 PM,9:38 PM,9:58 PM
Edinburgh Rd at Chancellors Way,5010,7:58 AM,8:18 AM,8:38 AM,8:58 AM,9:18 AM,9:38 AM,9:58 AM,10:18 AM,10:38 AM,10:58 AM,11:18 AM,11:38 AM,11:58 AM,12:18 PM,12:38 PM,12:58 PM,1:18 PM,1:38 PM,1:58 PM,2:18 PM,2:38 PM,2:58 PM,3:18 PM,3:38 PM,3:58 PM,4:18 PM,4:38 PM,4:58 PM,5:18 PM,5:38 PM,5:58 PM,6:18 PM,6:38 PM,6:58 PM,7:18 PM,7:38 PM,7:58 PM,8:18 PM,8:38 PM,8:58 PM,9:18 PM,9:38 PM,9:58 PM
Stone Rd. opposite Zellers,5011,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:22 AM,10:42 AM,11:02 AM,11:22 AM,11:42 AM,12:02 PM,12:22 PM,12:42 PM,1:02 PM,1:22 PM,1:42 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:22 PM,6:42 PM,7:02 PM,7:22 PM,7:42 PM,8:02 PM,8:22 PM,8:42 PM,9:02 PM,9:22 PM,9:42 PM,10:02 PM
95 Stone Rd. W.,5012,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:22 AM,10:42 AM,11:02 AM,11:22 AM,11:42 AM,12:02 PM,12:22 PM,12:42 PM,1:02 PM,1:22 PM,1:42 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:22 PM,6:42 PM,7:02 PM,7:22 PM,7:42 PM,8:02 PM,8:22 PM,8:42 PM,9:02 PM,9:22 PM,9:42 PM,10:02 PM
University Centre,5013,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:05 AM,10:25 AM,10:45 AM,11:05 AM,11:25 AM,11:45 AM,12:05 PM,12:25 PM,12:45 PM,1:05 PM,1:25 PM,1:45 PM,2:05 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:05 PM,6:25 PM,6:45 PM,7:05 PM,7:25 PM,7:45 PM,8:05 PM,8:25 PM,8:45 PM,9:05 PM,9:25 PM,9:45 PM,10:05 PM
